floor_g,n_events,events_per_day,n_days_with_meal,n_days_with_2to8,evening_share_pct,n_logged_events,logged_events_per_day
5,167,1.8555555555555556,83,67,29.94011976047904,12,0.13333333333333333
10,167,1.8555555555555556,83,67,29.94011976047904,11,0.12222222222222222
20,165,1.8333333333333333,83,65,30.303030303030305,10,0.1111111111111111
30,158,1.7555555555555555,82,62,29.746835443037973,8,0.08888888888888889
50,111,1.2333333333333334,69,35,30.630630630630627,1,0.011111111111111112
