floor_g,n_events,events_per_day,n_days_with_meal,n_days_with_2to8,evening_share_pct,n_logged_events,logged_events_per_day
5,0,0.0,0,0,0.0,662,4.592239323650553
10,0,0.0,0,0,0.0,659,4.571428571428571
20,0,0.0,0,0,0.0,576,3.9956644266204204
30,0,0.0,0,0,0.0,446,3.093865163667895
50,0,0.0,0,0,0.0,250,1.7342293518317797
