floor_g,n_events,events_per_day,n_days_with_meal,n_days_with_2to8,evening_share_pct,n_logged_events,logged_events_per_day
5,182,1.011111111111111,123,50,42.857142857142854,105,0.5833333333333334
10,182,1.011111111111111,123,50,42.857142857142854,105,0.5833333333333334
20,179,0.9944444444444445,121,49,43.01675977653631,96,0.5333333333333333
30,161,0.8944444444444445,113,44,44.099378881987576,83,0.46111111111111114
50,109,0.6055555555555555,87,20,47.706422018348626,47,0.2611111111111111
